Name|Capital|Surface|Neighbors|Time-zone
Afganistan|Kabul|652,864|Pakistan Iran Turkmenistan Uzbekistan Tadjikistan Republica Populară Chineză  |D† (UTC+4:30)
Africa de Sud|Cape Town|1.221.037|Namibia Botswana Lesotho Zimbabwe Eswatini Mozambic  |UTC + 2
Albania|Tirana|Grecia Macedonia de Nord Serbia Muntenegru Uniunea Europeană Kosovo  |UTC + 1
Algeria|Alger|Maroc Libia Niger Mali Tunisia Mauritania Sahara Occidentală Italia Spania  |UTC +1
Andorra|Andorra la Vella|476,63|Franța Spania Uniunea Europeană Catalonia Occitania  |CET (UTC+1)
Angola|Luanda|1.246.700|Namibia Republica Democrată Congo Zambia Republica Congo Gabon  |UTC+1
Antigua și Barbuda|St. John's||UTC/UTC+4
Arabia Saudită|Riad|Iordania Kuweit Qatar Bahrain Emiratele Arabe Unite Oman Yemen Irak Egipt Iran  |AST (UTC+3)
Argentina|Buenos Aires|2.780.400|Bolivia Brazilia Chile Paraguay Uruguay  |ART (UTC-3)
Armenia|Erevan|29,743|Iran Turcia Azerbaidjan Georgia  |UTC
Australia|Canberra|Indonezia Noua Zeelandă Papua Noua Guinee Timorul de Est  |UTC+8 (Australia de Vest)UTC+9:30 (Australia de Sud, Teritoriul de Nord)UTC+10 (Australian Capital Territory, Noul Wales de Sud, Queensland, Tasmania, Victoria)
Austria|Viena|83,879|Italia Liechtenstein Elveția Cehia Ungaria Slovacia Slovenia Germania  |UTC+1
Azerbaidjan|Baku|Armenia Iran Turcia Rusia Georgia Arțah  |AZT (UTC+4)
Bahamas|Nassau|13.940|Statele Unite ale Americii  |UTC–5
Bahrain|Manama|Arabia Saudită Iran  |UTC+3
Bangladesh|Dacca|144.000|Myanmar India  |UTC + 6
Barbados|Bridgetown||UTC - 4
Belarus|Minsk|207.595|Letonia [6] Lituania [6] Polonia Ucraina [6] Rusia [6] Uniunea Europeană  |Ora Kievului[5] (UTC+3)
Belgia|Bruxelles|30,528|Germania Luxemburg Franța Țările de Jos Regatul Țărilor de Jos  |UTC+1
Belize|Belmopan|22,966|Guatemala Mexic  |CST (UTC-6)
Benin|Porto Novo|Burkina Faso Niger Nigeria Togo  |UTC + 1
Bhutan|Thimphu|47.500|Republica Populară Chineză India  |UTC+6
Birmania|Naypyidaw|676.578|Bangladesh Republica Populară Chineză India Laos Thailanda  |UTC+6:30
Bolivia|Sucre|1.098.581|Argentina Brazilia Chile Paraguay Peru  |UTC−4
